Scrip,Valuation
L&T,70763
Tata Steel,49971
Tata Motors,39476
SBI,25828
HDFC Bank,22426
Sun Pharma,21654
Cochin Shipyard,16501
RIL,15462
M&M,15093
ICICI Bank,13275
Infosys,11759
RVNL,11456
IRCTC,10879
BDL,9558
BEL,9432
HAL,9257
Adani Ports,8775
Tata Power,8738
GRSE,8589
Yes Bank,7891
MIDHANI,7770
LIC,7657
Cipla,7336
IREDA,5440
AB Capital,5004
NMDC,4910
Wipro,4948
Mazgaon Dock,4828
IEX,4642
Mercury EV,4683
HCC,4602
TCS,4486
GAIL,4184
Indian Hotels,4167
Rattan Power,3635
Kotak Bank,3602
Jyothi Structures,3270
HDFC Life,3203
IOC,2885
Wockhardt,2793
Paras Defence,2262
Bombay Dyeing,2212
Jio Financial,1674
Idea,1620
